#          BLOCK:      ACTUAL_PE:         PE_AVE:          ERROR:
               1         -0.5396         -0.5396               0
               2       -0.539479       -0.539539      4.2912e-05
               3       -0.539367       -0.539482     5.49476e-05
               4       -0.539257       -0.539426     6.37486e-05
               5       -0.539146        -0.53937     7.13967e-05
               6       -0.539031       -0.539313     7.86897e-05
               7       -0.538911       -0.539256     8.58902e-05
               8       -0.538774       -0.539196     9.39538e-05
               9       -0.538623       -0.539132     0.000102858
              10       -0.538459       -0.539065     0.000112438
              11       -0.538274       -0.538993     0.000123076
              12        -0.53807       -0.538916     0.000134706
              13       -0.537836       -0.538833     0.000147746
              14       -0.537574       -0.538743     0.000162281
              15       -0.537277       -0.538645     0.000178471
              16       -0.536947       -0.538539     0.000196353
              17       -0.536586       -0.538424     0.000215821
              18       -0.536179       -0.538299     0.000237154
              19       -0.535737       -0.538165     0.000260211
              20       -0.535253       -0.538019     0.000285019
              21       -0.534725       -0.537862     0.000311638
              22       -0.534155       -0.537694     0.000339988
              23       -0.533542       -0.537513     0.000370044
              24       -0.532886        -0.53732     0.000401718
              25       -0.532188       -0.537115     0.000434962
              26       -0.531444       -0.536897     0.000469748
              27        -0.53066       -0.536666     0.000505975
              28       -0.529836       -0.536422      0.00054353
              29       -0.528976       -0.536165      0.00058228
              30       -0.528083       -0.535896     0.000622078
              31       -0.527158       -0.535614     0.000662795
              32       -0.526208        -0.53532     0.000704247
              33        -0.52524       -0.535015     0.000746211
              34       -0.524258       -0.534698     0.000788486
              35       -0.523268       -0.534372     0.000830837
              36       -0.522272       -0.534036     0.000873096
              37       -0.521283       -0.533691     0.000915008
              38       -0.520302       -0.533339     0.000956358
              39       -0.519342        -0.53298     0.000996906
              40       -0.518411       -0.532615      0.00103639
              41       -0.517512       -0.532247      0.00107458
              42        -0.51666       -0.531876      0.00111124
              43       -0.515861       -0.531504      0.00114612
              44       -0.515126       -0.531131      0.00117896
              45        -0.51445       -0.530761      0.00120964
              46       -0.513852       -0.530393      0.00123793
              47        -0.51333        -0.53003       0.0012637
              48       -0.512896       -0.529673       0.0012868
              49        -0.51256       -0.529324      0.00130707
              50       -0.512326       -0.528984       0.0013244
              51       -0.512187       -0.528654      0.00133876
              52       -0.512157       -0.528337      0.00135008
              53       -0.512236       -0.528033      0.00135836
              54       -0.512424       -0.527744      0.00136361
              55       -0.512726       -0.527471      0.00136588
              56       -0.513138       -0.527215      0.00136526
              57       -0.513664       -0.526978      0.00136185
